title,releaseDate,retailPrice
Reebok Instapump Fury Tom & Jerry (TD),2020-02-15 23:59:59,50.0
Jordan 3 Retro SE Fire Red,2020-02-15 23:59:59,200.0
adidas Yeezy Boost 700 V3 Alvah,2020-02-15 23:59:59,200.0
KD 12 Don C,2020-02-15 23:59:59,160.0
Jordan 3 Retro Fire Red Cement (Nike Chi),2020-02-15 23:59:59,200.0
Jordan 5 Retro Off-White Black,2020-02-15 23:59:59,225.0
Jordan 5 Retro Off-White Black (PS),2020-02-15 23:59:59,90.0
Jordan 5 Retro Off-White Black (TD),2020-02-15 23:59:59,70.0
Jordan 10 Retro Wings,2020-02-15 23:59:59,190.0
Jordan 3 Retro SE Fire Red (TD),2020-02-15 23:59:59,60.0
Jordan 3 Retro SE Fire Red (GS),2020-02-15 23:59:59,150.0
Jordan 3 Retro SE Fire Red (PS),2020-02-15 23:59:59,80.0
Kyrie 6 Trophies,2020-02-14 23:59:59,140.0
Jordan 1 Retro High UNC Chicago Leather (W),2020-02-14 23:59:59,170.0
LeBron 17 Monstars,2020-02-13 23:59:59,225.0
Nike PG 4 Gatorade All-Star (2020),2020-02-13 23:59:59,120.0
Reebok Electrolyte Bape Black Black,2020-02-12 23:59:59,330.0
Reebok Aztrek 96 Bape Black White,2020-02-12 23:59:59,295.0
Reebok Aztrek 96 Bape Black Black,2020-02-12 23:59:59,295.0
Reebok Electrolyte Bape Black White,2020-02-12 23:59:59,330.0
Air Fear of God 1 String,2020-02-10 23:59:59,350.0
Air Foamposite One Chrome Black (GS),2020-02-08 23:59:59,180.0
Air Foamposite One Chrome Black (TD),2020-02-08 23:59:59,80.0
Air Foamposite One Chrome Black (I),2020-02-08 23:59:59,60.0
Air Foamposite One Chrome Black (PS),2020-02-08 23:59:59,100.0
Nike Dunk Low Plum (2020),2020-02-07 23:59:59,100.0
Puma RS-X3 Sonic the Hedgehog,2020-02-07 23:59:59,120.0
Nike PG 4 Football Grey Plaid,2020-02-07 23:59:59,110.0
Kobe 5 Protro Big Stage Parade PE,2020-02-07 23:59:59,200.0
Reebok Daytona DMX GOK,2020-02-07 23:59:59,140.0
Jordan 6 Retro Dynamic Yellow Floral (GS),2020-02-06 23:59:59,140.0
Jordan 6 Retro Dynamic Yellow Floral (TD),2020-02-06 23:59:59,60.0
Jordan XXXIV Black Cat,2020-02-06 23:59:59,180.0
Jordan 6 Retro Dynamic Yellow Floral (PS),2020-02-06 23:59:59,80.0
Jordan XXXIV Black Cat (GS),2020-02-06 23:59:59,140.0
adidas ZX 8000 Lethal Nights Black,2020-02-06 23:59:59,120.0
Air Max 90 Recraft Rose (I),2020-02-01 23:59:59,45.0
Air Max 90 Recraft Rose (GS),2020-02-01 23:59:59,100.0
Air Barrage Low White Hyper Blue,2020-02-01 23:59:59,140.0
Air Max 90 Recraft Rose (W),2020-02-01 23:59:59,120.0
Air Max 90 Recraft Rose (PS),2020-02-01 23:59:59,80.0
Air Max 90 Recraft Rose (TD),2020-02-01 23:59:59,65.0
Jordan 1 Low Pine Green,2020-02-01 23:59:59,90.0
Jordan Mars 270 Dream Team Ad Concord,2020-02-01 23:59:59,160.0
Jordan Air Max 200 Altitude Green,2020-02-01 23:59:59,125.0
Jordan Air Latitude 720 Barely Rose (W),2020-02-01 23:59:59,180.0
adidas Ultra Boost 20 Triple Red,2020-02-01 23:59:59,180.0
adidas Yung-1 Leopard,2020-02-01 23:59:59,120.0
Kyrie 6 Oracle Aqua,2020-02-01 23:59:59,130.0
Air Force 1 Low Triple Red,2020-02-01 23:59:59,110.0
Air Max 90 Recraft Royal,2020-02-01 23:59:59,120.0
Nike SB Shane Summit White University Red,2020-02-01 23:59:59,80.0
Nike SB Shane Black White,2020-02-01 23:59:59,80.0
Kyrie 6 Oracle Aqua (GS),2020-02-01 23:59:59,110.0
Nike SB Shane Summit White University Blue,2020-02-01 23:59:59,80.0
Jordan 1 Mid SE Disco Metallic Silver (W),2020-02-01 23:59:59,125.0
adidas Yeezy Boost 350 V2 Marsh,2020-02-01 23:59:59,220.0
adidas Superstan Cloud White Green,2020-02-01 23:59:59,110.0
adidas D.O.N. Issue #1 Joker,2020-02-01 23:59:59,100.0
adidas NMD R1 Black Metal Grey Lush Blue,2020-02-01 23:59:59,130.0
adidas Stan Smith Valentines Day 2020 (W),2020-02-01 23:59:59,80.0
adidas Nite Jogger 3M Black Metallic,2020-02-01 23:59:59,130.0
adidas Superstar Valentines Day White (2020),2020-02-01 23:59:59,80.0
adidas Stan Smith Valentines Day (2020),2020-02-01 23:59:59,80.0
adidas Nite Jogger 3M Silver Metallic,2020-02-01 23:59:59,130.0
adidas Campus Adv Collegiate Green White,2020-02-01 23:59:59,85.0
adidas Alphaboost Multi,2020-02-01 23:59:59,120.0
adidas NMD R1 Metal Grey,2020-02-01 23:59:59,130.0
adidas Nizza Trefoil Valentines Day 2020 (W),2020-02-01 23:59:59,60.0
adidas Superstar Valentines Day Black (2020),2020-02-01 23:59:59,80.0
adidas Superstar Valentines Day 2020 (W),2020-02-01 23:59:59,90.0
adidas Dame 6 Dame Time,2020-02-01 23:59:59,110.0
Converse Jack Purcell Ox End Blueprint,2020-02-01 23:59:59,105.0
Converse Chuck Taylor All-Star 70s Hi End Blueprint,2020-02-01 23:59:59,119.0
Air Force 1 Low White Vachetta Tan,2020-01-31 23:59:59,140.0
Air Force 1 Low Black Pack,2020-01-31 23:59:59,140.0
adidas CodeChaos Boa Signal Green,2020-01-31 23:59:59,180.0
adidas CodeChaos Boa Core Black (GS),2020-01-31 23:59:59,70.0
adidas CodeChaos Boa Signal Green (W),2020-01-31 23:59:59,150.0
adidas CodeChaos Boa Cloud White,2020-01-31 23:59:59,180.0
adidas CodeChaos Boa Cloud White Shock Pink (GS),2020-01-31 23:59:59,70.0
adidas CodeChaos Boa Cloud White (W),2020-01-31 23:59:59,150.0
adidas CodeChaos Cloud White Glory Blue,2020-01-31 23:59:59,130.0
adidas CodeChaos Sport Grey Two,2020-01-31 23:59:59,130.0
adidas CodeChaos Sport Core Black,2020-01-31 23:59:59,130.0
adidas CodeChaos Signal Green,2020-01-31 23:59:59,150.0
adidas CodeChaos Sport Grey Three,2020-01-31 23:59:59,130.0
adidas CodeChaos Grey Three,2020-01-31 23:59:59,150.0
adidas CodeChaos Boa Cloud White Core Black (GS),2020-01-31 23:59:59,70.0
adidas CodeChaos Cloud White,2020-01-31 23:59:59,150.0
adidas CodeChaos Signal Green (W),2020-01-31 23:59:59,130.0
adidas CodeChaos Metal Grey (W),2020-01-31 23:59:59,130.0
Air VaporMax 360 Triple Black (W),2020-01-30 23:59:59,225.0
Air VaporMax 360 Blue Void Magic Ember (W),2020-01-30 23:59:59,225.0
Jordan 13 Retro Playground (GS),2020-01-30 23:59:59,140.0
Jordan 13 Retro Playground (TD),2020-01-30 23:59:59,60.0
Jordan 5 Retro Oil Grey (W),2020-01-30 23:59:59,190.0
Jordan 13 Retro Playground (PS),2020-01-30 23:59:59,80.0
Air VaporMax 360 OG Grey Red,2020-01-30 23:59:59,225.0
Nike Blazer Mid 77 Suede Thunderstorm,2020-01-30 23:59:59,100.0
Air Max 270 React Eng Photo Dust (W),2020-01-30 23:59:59,170.0
Air Max 270 React Eng Laser Crimson Laser Orange,2020-01-30 23:59:59,170.0
Air Max 200 Blueprint,2020-01-30 23:59:59,120.0
adidas 4D Run 1.0 Parley,2020-01-30 23:59:59,220.0
adidas Stan Smith Human Made,2020-01-30 23:59:59,140.0
